DisplayName;Department;Ruoli;jobTitle;lastLogon;accountType;username
Duplicate User 0;IT;G-Global-Access;Analyst;2024-01-01;Internal;user_dup_0_a
Duplicate User 0;HR;G-Global-Access;Manager;2024-01-02;Internal;user_dup_0_b
Duplicate User 1;IT;G-Global-Access;Analyst;2024-01-01;Internal;user_dup_1_a
Duplicate User 1;HR;G-Global-Access;Manager;2024-01-02;Internal;user_dup_1_b
Duplicate User 2;IT;G-Global-Access;Analyst;2024-01-01;Internal;user_dup_2_a
Duplicate User 2;HR;G-Global-Access;Manager;2024-01-02;Internal;user_dup_2_b
Duplicate User 3;IT;G-Global-Access;Analyst;2024-01-01;Internal;user_dup_3_a
Duplicate User 3;HR;G-Global-Access;Manager;2024-01-02;Internal;user_dup_3_b
Duplicate User 4;IT;G-Global-Access;Analyst;2024-01-01;Internal;user_dup_4_a
Duplicate User 4;HR;G-Global-Access;Manager;2024-01-02;Internal;user_dup_4_b
Orphan User 0;Sales;;Clerk;2024-02-01;Internal;orphan_u_0
Orphan User 1;Marketing;;Clerk;2024-02-01;Internal;orphan_u_1
Orphan User 2;IT;;Clerk;2024-02-01;Internal;orphan_u_2
Orphan User 3;R&D;;Clerk;2024-02-01;Internal;orphan_u_3
Orphan User 4;Operations;;Clerk;2024-02-01;Internal;orphan_u_4
Orphan User 5;HR;;Clerk;2024-02-01;Internal;orphan_u_5
Orphan User 6;Operations;;Clerk;2024-02-01;Internal;orphan_u_6
Orphan User 7;Legal;;Clerk;2024-02-01;Internal;orphan_u_7
Orphan User 8;R&D;;Clerk;2024-02-01;Internal;orphan_u_8
Orphan User 9;Sales;;Clerk;2024-02-01;Internal;orphan_u_9
Stale User 0;Legal;G-Static-Role;Retiree;2025-01-07;Internal;stale_0
Stale User 1;Finance;G-Static-Role;Retiree;2025-01-07;Internal;stale_1
Stale User 2;HR;G-Static-Role;Retiree;2025-01-07;Internal;stale_2
Stale User 3;Finance;G-Static-Role;Retiree;2025-01-07;Internal;stale_3
Stale User 4;Marketing;G-Static-Role;Retiree;2025-01-07;Internal;stale_4
Stale User 5;Legal;G-Static-Role;Retiree;2025-01-07;Internal;stale_5
Stale User 6;HR;G-Static-Role;Retiree;2025-01-07;Internal;stale_6
Stale User 7;R&D;G-Static-Role;Retiree;2025-01-07;Internal;stale_7
Stale User 8;IT;G-Static-Role;Retiree;2025-01-07;Internal;stale_8
Stale User 9;Sales;G-Static-Role;Retiree;2025-01-07;Internal;stale_9
Stale User 10;Sales;G-Static-Role;Retiree;2025-01-07;Internal;stale_10
Stale User 11;Legal;G-Static-Role;Retiree;2025-01-07;Internal;stale_11
Stale User 12;R&D;G-Static-Role;Retiree;2025-01-07;Internal;stale_12
Stale User 13;Legal;G-Static-Role;Retiree;2025-01-07;Internal;stale_13
Stale User 14;Legal;G-Static-Role;Retiree;2025-01-07;Internal;stale_14
Stale User 15;Legal;G-Static-Role;Retiree;2025-01-07;Internal;stale_15
Stale User 16;Marketing;G-Static-Role;Retiree;2025-01-07;Internal;stale_16
Stale User 17;IT;G-Static-Role;Retiree;2025-01-07;Internal;stale_17
Stale User 18;Operations;G-Static-Role;Retiree;2025-01-07;Internal;stale_18
Stale User 19;R&D;G-Static-Role;Retiree;2025-01-07;Internal;stale_19
New User 0;Sales;G-Onboarding;Trainee;;Internal;newbie_0
New User 1;Legal;G-Onboarding;Trainee;;Internal;newbie_1
New User 2;Legal;G-Onboarding;Trainee;;Internal;newbie_2
New User 3;R&D;G-Onboarding;Trainee;;Internal;newbie_3
New User 4;R&D;G-Onboarding;Trainee;;Internal;newbie_4
New User 5;HR;G-Onboarding;Trainee;;Internal;newbie_5
New User 6;Operations;G-Onboarding;Trainee;;Internal;newbie_6
New User 7;Marketing;G-Onboarding;Trainee;;Internal;newbie_7
New User 8;Sales;G-Onboarding;Trainee;;Internal;newbie_8
New User 9;Operations;G-Onboarding;Trainee;;Internal;newbie_9
Overprivileged SAP 0;IT;SAP_1,SAP_All,G-Standard-User;DevOps;2024-05-10;Technical;over_priv_SAP_0
Overprivileged SAP Admin 0;IT;SAP_Read,SAP_Admin,G-Standard-User;Admin;2024-05-11;Administrative;over_admin_SAP_0
Overprivileged Salesforce 1;IT;Salesforce_1,Salesforce_All,G-Standard-User;DevOps;2024-05-10;Technical;over_priv_Salesforce_1
Overprivileged Salesforce Admin 1;IT;Salesforce_Read,Salesforce_Admin,G-Standard-User;Admin;2024-05-11;Administrative;over_admin_Salesforce_1
Overprivileged Azure 2;IT;Azure_1,Azure_All,G-Standard-User;DevOps;2024-05-10;Technical;over_priv_Azure_2
Overprivileged Azure Admin 2;IT;Azure_Read,Azure_Admin,G-Standard-User;Admin;2024-05-11;Administrative;over_admin_Azure_2
Overprivileged AWS 3;IT;AWS_1,AWS_All,G-Standard-User;DevOps;2024-05-10;Technical;over_priv_AWS_3
Overprivileged AWS Admin 3;IT;AWS_Read,AWS_Admin,G-Standard-User;Admin;2024-05-11;Administrative;over_admin_AWS_3
Overprivileged Azure 4;IT;Azure_1,Azure_All,G-Standard-User;DevOps;2024-05-10;Technical;over_priv_Azure_4
Overprivileged Azure Admin 4;IT;Azure_Read,Azure_Admin,G-Standard-User;Admin;2024-05-11;Administrative;over_admin_Azure_4
Overprivileged Salesforce 5;IT;Salesforce_1,Salesforce_All,G-Standard-User;DevOps;2024-05-10;Technical;over_priv_Salesforce_5
Overprivileged Salesforce Admin 5;IT;Salesforce_Read,Salesforce_Admin,G-Standard-User;Admin;2024-05-11;Administrative;over_admin_Salesforce_5
